			"Dynamique de la fusée (repère sol)"												"Forces"													"Sous-échantillon 1Hz"				"Accélération longitudinale"	
"pas"	"t"		"acc_x"	"acc_z"	"acc_xz"	"vit_x"	"vit_z"	"vit_xz"	"pos_x"	"pos_z"	"pos_xz"	"Beta"	"BetaD"		"i_P"	"Poussée"	"Débit"	"m"	"Poids"	"R_rampe"	"Rho"	"Trainée"		"Événements"				"Temps"	"x"	"z"		"gravitationnelle"	"non-gravit."
"s"	"s"		"m/s²"	"m/s²"	"m/s²"	"m/s"	"m/s"	"m/s"	"m"	"m"	"m"	"rad"	"°"		"-"	"N"	"kg/s"	"kg"	"N"	"N"	"kg/m3"	"N"						"s"	"m"	"m"		"m/s²"	"m/s²"
0,01	0,25		41,83	221,72	225,63	10,69	59,09	60,05	1,33	7,44	7,55	1,39	79,74		5	189,25	0,09	0,80	7,81	0,00	1,22	2,22		""	""	""		"#N/A"	"#N/A"	7		225,62	235,28
0,01	0,26		41,57	219,91	223,80	11,11	61,29	62,29	1,44	8,04	8,16	1,39	79,73		5	187,75	0,09	0,79	7,80	0,00	1,22	2,39		""	""	""		"#N/A"	"#N/A"	8		223,80	233,45
0,01	0,27		41,31	218,09	221,97	11,52	63,47	64,51	1,55	8,66	8,80	1,39	79,71		5	186,25	0,09	0,79	7,79	0,00	1,22	2,56		""	""	""		"#N/A"	"#N/A"	9		221,96	231,61
0,01	0,28		41,04	216,26	220,12	11,93	65,64	66,71	1,67	9,31	9,45	1,39	79,70		5	184,75	0,09	0,79	7,78	0,00	1,22	2,74		""	""	""		"#N/A"	"#N/A"	9		220,11	229,76
0,01	0,29		40,77	214,41	218,26	12,34	67,78	68,89	1,79	9,97	10,13	1,39	79,68		5	183,25	0,09	0,79	7,77	0,00	1,22	2,92		""	""	""		"#N/A"	"#N/A"	10		218,25	227,90
0,01	0,30		40,49	212,56	216,38	12,75	69,91	71,06	1,91	10,66	10,83	1,39	79,67		5	181,75	0,09	0,79	7,76	0,00	1,22	3,10		""	""	""		"#N/A"	"#N/A"	11		216,38	226,03
0,01	0,31		40,20	210,70	214,50	13,15	72,01	73,20	2,04	11,37	11,55	1,39	79,65		5	180,25	0,09	0,79	7,75	0,00	1,22	3,29		""	""	""		"#N/A"	"#N/A"	11		214,49	224,14
0,01	0,32		39,92	208,82	212,60	13,55	74,10	75,33	2,18	12,10	12,30	1,39	79,64		5	178,75	0,09	0,79	7,74	0,00	1,22	3,49		""	""	""		"#N/A"	"#N/A"	12		212,60	222,25
0,01	0,33		39,63	206,94	210,70	13,94	76,17	77,44	2,31	12,85	13,06	1,39	79,63		5	177,25	0,09	0,79	7,74	0,00	1,22	3,68		""	""	""		"#N/A"	"#N/A"	13		210,69	220,34
0,01	0,34		39,33	205,04	208,78	14,34	78,22	79,52	2,45	13,63	13,84	1,39	79,61		5	175,75	0,08	0,79	7,73	0,00	1,22	3,89		""	""	""		"#N/A"	"#N/A"	14		208,77	218,42
0,01	0,35		39,03	203,13	206,85	14,73	80,25	81,59	2,60	14,42	14,65	1,39	79,60		5	174,25	0,08	0,79	7,72	0,00	1,22	4,09		""	""	""		"#N/A"	"#N/A"	14		206,84	216,49
0,01	0,36		38,73	201,22	204,91	15,11	82,26	83,64	2,75	15,23	15,48	1,39	79,59		5	172,75	0,08	0,79	7,71	0,00	1,22	4,30		""	""	""		"#N/A"	"#N/A"	15		204,90	214,55
0,01	0,37		38,42	199,29	202,96	15,50	84,26	85,67	2,90	16,06	16,32	1,39	79,58		5	171,25	0,08	0,79	7,70	0,00	1,22	4,51		""	""	""		"#N/A"	"#N/A"	16		202,95	212,60
